ESTATECODE,SELLINGMARK,WAREHOUSENAME,GRADE,CHEST,NET WT.,INV #,LOT #,M / S,BUY/C,BUYER,,Valuation,UpperValuation,LEAFStandard,INFUSEDRemarks,LiquorRemark,LimitPrice,MinPrice,AskingPrice,PRICE
MF0234,GONAKELLE,E.B. STORES,BOP1A,20,500,0723R,426,M,,,,950,970,Clean,Aroma,Quality,0,400,970,0
MF0234,GONAKELLE,E.B. STORES,BOP1A,20,500,0731R,427,M,A8,AKBAR BROTHERS (PVT) LTD,,980,1000,Clean,Aroma,Quality,0,500,1000,790
MF0668,HINDAGALA,E.B. STORES,BOP1A,10,250,0681R,428,M,A8,AKBAR BROTHERS (PVT) LTD,,900,920,Clean,Aroma,Quality,0,400,920,800
MF0668,HINDAGALA,E.B. STORES,BOP1A,10,250,0691R,429,M,A8,AKBAR BROTHERS (PVT) LTD,,920,940,Clean,Aroma,Quality,0,400,940,790
MF0353,YATADERIYA,E.B. STORES,BOP1A,10,230,734,430,M,A8,AKBAR BROTHERS (PVT) LTD,,1000,1020,Clean,Aroma,Quality,0,500,1020,850
MF0353,YATADERIYA,E.B. STORES,BOP1A,10,250,0736R,431,M,A8,AKBAR BROTHERS (PVT) LTD,,950,970,Clean,Aroma,Quality,0,400,970,840
MF0353,YATADERIYA,E.B. STORES,BOP1A,10,270,748,432,M,A8,AKBAR BROTHERS (PVT) LTD,,950,970,Clean,Aroma,Quality,0,400,970,840
MF0895,DOTEL OYA,E.B. STORES,DUST,10,600,366,433,M,SCL,SUNSHINE CONSUMER LANKA LIMITED,,850,870,Bold,Mixed,Plain,0,400,870,900
MF0034,STRATHSPEY,E.B. STORES,DUST1,10,600,0434R,434,M,J7,A.F.JONES EXP. (CEY) LTD,,1650,1670,Clean,Aroma,Quality,0,500,1670,1460
MF0034,STRATHSPEY,E.B. STORES,DUST1,20,1200,0435R,435,M,T13,TEA TANG LTD,,1550,1570,Clean,Aroma,Quality,0,500,1570,1300
MF0374,BRUNSWICK,E.B. STORES,DUST1,20,1200,0405R,436,M,DB8,DILMAH CEYLON TEA COMPANY PLC,,1600,1620,Clean,Aroma,Quality,0,500,1620,1400
MF0505,GLENUGIE,E.B. STORES,DUST1,10,650,0117R,437,M,C51,CEYLON TEA MARKETING (PVT) LTD,,1600,1620,Clean,Aroma,Quality,0,500,1620,1600
MF0399,MORAY,E.B. STORES,DUST1,10,600,0288R,438,M,U76,UNILEVER LIPTON CEYLON LIMITED,,1600,1620,Clean,Aroma,Quality,0,500,1620,1500
MF0399,MORAY,E.B. STORES,DUST1,10,600,0289R,439,M,SCL,SUNSHINE CONSUMER LANKA LIMITED,,1550,1570,Clean,Aroma,Quality,0,500,1570,1440
MF0689,LAXAPANA,E.B. STORES,DUST1,20,1300,0524R,440,M,H7,HENDRICK & BROS,,1650,1670,Clean,Aroma,Quality,0,500,1670,1480
MF0502,GLENTILT,E.B. STORES,DUST1,10,650,0416R,441,M,DB8,DILMAH CEYLON TEA COMPANY PLC,,1600,1620,Clean,Aroma,Quality,0,500,1620,1600
MF0502,GLENTILT,E.B. STORES,DUST1,20,1300,0417R,442,M,C51,CEYLON TEA MARKETING (PVT) LTD,,1500,1520,Clean,Aroma,Quality,0,500,1520,1480
MF0221,TALAWAKELLE,E.B. STORES,DUST1,10,600,0615R,443,M,DB8,DILMAH CEYLON TEA COMPANY PLC,,1650,1670,Clean,Aroma,Quality,0,500,1670,1500
MF0221,TALAWAKELLE,E.B. STORES,DUST1,10,600,0616R,444,M,SCL,SUNSHINE CONSUMER LANKA LIMITED,,1650,1670,Clean,Aroma,Quality,0,500,1670,1500
MF0221,TALAWAKELLE,E.B. STORES,DUST1,20,1200,0617R,445,M,U76,UNILEVER LIPTON CEYLON LIMITED,,1650,1670,Clean,Aroma,Quality,0,500,1670,1500
MF0221,TALAWAKELLE,E.B. STORES,DUST1,10,600,0618R,446,M,U76,UNILEVER LIPTON CEYLON LIMITED,,1600,1620,Clean,Aroma,Quality,0,500,1620,1440
MF0221,TALAWAKELLE,E.B. STORES,DUST1,20,1200,0619R,447,M,SCL,SUNSHINE CONSUMER LANKA LIMITED,,1600,1620,Clean,Aroma,Quality,0,500,1620,1480
MF0221,TALAWAKELLE,E.B. STORES,DUST1,40,2400,0620R,448,M,U76,UNILEVER LIPTON CEYLON LIMITED,,1550,1570,Clean,Aroma,Quality,0,500,1570,1400
MF0221,TALAWAKELLE,E.B. STORES,DUST1,20,1200,0621R,449,M,SCL,SUNSHINE CONSUMER LANKA LIMITED,,1600,1620,Clean,Aroma,Quality,0,500,1620,1460
MF0043,ST. CLAIR,E.B. STORES,DUST1,20,1200,0238R,450,M,J7,A.F.JONES EXP. (CEY) LTD,,1600,1620,Clean,Aroma,Quality,0,500,1620,1400
MF0043,ST. CLAIR,E.B. STORES,DUST1,10,600,0239R,451,M,MO9,MASKELIYA TEA GARDEN CEYLON LTD,,1600,1620,Clean,Aroma,Quality,0,500,1620,1400
MF0043,ST. CLAIR,E.B. STORES,DUST1,10,600,0244R,452,M,SCL,SUNSHINE CONSUMER LANKA LIMITED,,1500,1520,Clean,Aroma,Quality,0,500,1520,1300
